#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
306926:6404,67:67,11/21/17 17:06:25,STABLE BEAMS,6500,125083.169,38237.165,51.3,HFET
306926:6404,68:68,11/21/17 17:06:48,STABLE BEAMS,6500,125100.140,81054.075,51.3,HFET
306926:6404,69:69,11/21/17 17:07:12,STABLE BEAMS,6500,124778.531,81002.916,51.1,HFET
306926:6404,70:70,11/21/17 17:07:35,STABLE BEAMS,6500,124698.964,81037.043,51.1,HFET
306926:6404,71:71,11/21/17 17:07:58,STABLE BEAMS,6500,124590.817,81052.695,51.1,HFET
306926:6404,72:72,11/21/17 17:08:22,STABLE BEAMS,6500,124406.500,81205.006,51.0,HFET
306926:6404,73:73,11/21/17 17:08:45,STABLE BEAMS,6500,124231.992,82530.696,50.9,HFET
306926:6404,74:74,11/21/17 17:09:08,STABLE BEAMS,6500,124083.325,82802.036,50.9,HFET
306926:6404,75:75,11/21/17 17:09:32,STABLE BEAMS,6500,123879.491,82877.916,50.8,HFET
306926:6404,76:76,11/21/17 17:09:55,STABLE BEAMS,6500,123808.275,82010.152,50.7,HFET
306926:6404,77:77,11/21/17 17:10:18,STABLE BEAMS,6500,123695.725,114149.875,50.7,HFET
306926:6404,78:78,11/21/17 17:10:42,STABLE BEAMS,6500,123455.514,110948.833,50.6,HFET
306926:6404,79:79,11/21/17 17:11:05,STABLE BEAMS,6500,123368.738,114833.708,50.6,HFET
306926:6404,80:80,11/21/17 17:11:28,STABLE BEAMS,6500,123177.108,115834.925,50.5,HFET
306926:6404,81:81,11/21/17 17:11:51,STABLE BEAMS,6500,122985.872,112255.042,50.4,HFET
306926:6404,82:82,11/21/17 17:12:15,STABLE BEAMS,6500,122867.527,115841.428,50.4,HFET
306926:6404,83:83,11/21/17 17:12:38,STABLE BEAMS,6500,122484.376,115162.678,50.2,HFET
306926:6404,84:84,11/21/17 17:13:01,STABLE BEAMS,6500,122773.386,115575.162,50.3,HFET
306926:6404,85:85,11/21/17 17:13:25,STABLE BEAMS,6500,122498.639,77914.476,50.2,HFET
306929:6404,1:1,11/21/17 17:36:48,STABLE BEAMS,6500,115074.530,109251.354,47.2,HFET
306929:6404,2:2,11/21/17 17:37:11,STABLE BEAMS,6500,111878.444,108449.201,45.9,HFET
306929:6404,3:3,11/21/17 17:37:35,STABLE BEAMS,6500,87437.861,86206.298,35.8,HFET
306929:6404,4:4,11/21/17 17:37:58,STABLE BEAMS,6500,54121.009,52711.175,22.2,HFET
306929:6404,5:5,11/21/17 17:38:21,STABLE BEAMS,6500,26397.679,25711.296,10.8,HFET
306929:6404,6:6,11/21/17 17:38:44,STABLE BEAMS,6500,11222.074,9249.360,4.6,HFET
306929:6404,7:7,11/21/17 17:39:08,STABLE BEAMS,6500,6230.382,4480.114,2.6,PLTZERO
306929:6404,8:8,11/21/17 17:39:31,STABLE BEAMS,6500,5482.021,3870.662,2.2,PLTZERO
306929:6404,9:9,11/21/17 17:39:54,STABLE BEAMS,6500,4804.580,3308.085,2.0,PLTZERO
306929:6404,10:10,11/21/17 17:40:18,STABLE BEAMS,6500,4948.247,3429.115,2.0,PLTZERO
306929:6404,11:11,11/21/17 17:40:41,STABLE BEAMS,6500,5096.928,3532.585,2.1,PLTZERO
306929:6404,12:12,11/21/17 17:41:04,STABLE BEAMS,6500,5228.552,3638.212,2.1,PLTZERO
306929:6404,13:13,11/21/17 17:41:28,STABLE BEAMS,6500,5442.540,3823.127,2.2,PLTZERO
306929:6404,14:14,11/21/17 17:41:51,STABLE BEAMS,6500,5564.657,3932.200,2.3,PLTZERO
306929:6404,15:15,11/21/17 17:42:14,STABLE BEAMS,6500,5619.574,5525.799,2.3,PLTZERO
306929:6404,16:16,11/21/17 17:42:38,STABLE BEAMS,6500,5904.488,5805.421,2.4,PLTZERO
306929:6404,17:17,11/21/17 17:43:01,STABLE BEAMS,6500,6033.990,5931.978,2.5,PLTZERO
306929:6404,18:18,11/21/17 17:43:24,STABLE BEAMS,6500,5873.930,5774.906,2.4,PLTZERO
306929:6404,19:19,11/21/17 17:43:47,STABLE BEAMS,6500,5885.669,5786.415,2.4,PLTZERO
306929:6404,20:20,11/21/17 17:44:11,STABLE BEAMS,6500,5996.697,5893.956,2.5,PLTZERO
306929:6404,21:21,11/21/17 17:44:34,STABLE BEAMS,6500,5840.992,5735.176,2.4,PLTZERO
306929:6404,22:22,11/21/17 17:44:57,STABLE BEAMS,6500,5928.940,5824.410,2.4,PLTZERO
306929:6404,23:23,11/21/17 17:45:21,STABLE BEAMS,6500,5902.838,5799.680,2.4,PLTZERO
306929:6404,24:24,11/21/17 17:45:44,STABLE BEAMS,6500,5852.180,5749.775,2.4,PLTZERO
306929:6404,25:25,11/21/17 17:46:07,STABLE BEAMS,6500,5995.368,5889.872,2.5,PLTZERO
306929:6404,26:26,11/21/17 17:46:31,STABLE BEAMS,6500,5939.843,5835.607,2.4,PLTZERO
306929:6404,27:27,11/21/17 17:46:54,STABLE BEAMS,6500,5896.759,5793.042,2.4,PLTZERO
306929:6404,28:28,11/21/17 17:47:17,STABLE BEAMS,6500,6071.898,5964.481,2.5,PLTZERO
306929:6404,29:29,11/21/17 17:47:41,STABLE BEAMS,6500,6013.658,5898.238,2.5,PLTZERO
306929:6404,30:30,11/21/17 17:48:04,STABLE BEAMS,6500,5799.214,5698.840,2.4,PLTZERO
306929:6404,31:31,11/21/17 17:48:27,STABLE BEAMS,6500,5840.887,5739.250,2.4,PLTZERO
306929:6404,32:32,11/21/17 17:48:51,STABLE BEAMS,6500,5875.677,5772.690,2.4,PLTZERO
306929:6404,33:33,11/21/17 17:49:14,STABLE BEAMS,6500,5844.638,5742.630,2.4,PLTZERO
306929:6404,34:34,11/21/17 17:49:37,STABLE BEAMS,6500,5941.509,5836.330,2.4,PLTZERO
306929:6404,35:35,11/21/17 17:50:00,STABLE BEAMS,6500,5908.347,5804.835,2.4,PLTZERO
306929:6404,36:36,11/21/17 17:50:24,STABLE BEAMS,6500,5803.217,5694.761,2.4,PLTZERO
306929:6404,37:37,11/21/17 17:50:47,STABLE BEAMS,6500,5863.806,5752.791,2.4,PLTZERO
306929:6404,38:38,11/21/17 17:51:10,STABLE BEAMS,6500,5914.497,5802.518,2.4,PLTZERO
306929:6404,39:39,11/21/17 17:51:34,STABLE BEAMS,6500,5841.737,5731.379,2.4,PLTZERO
306929:6404,40:40,11/21/17 17:51:57,STABLE BEAMS,6500,5925.912,5813.988,2.4,PLTZERO
306929:6404,41:41,11/21/17 17:52:20,STABLE BEAMS,6500,5918.912,5807.308,2.4,PLTZERO
306929:6404,42:42,11/21/17 17:52:44,STABLE BEAMS,6500,5913.412,5801.257,2.4,PLTZERO
306929:6404,43:43,11/21/17 17:53:07,STABLE BEAMS,6500,6012.501,5897.737,2.5,PLTZERO
306929:6404,44:44,11/21/17 17:53:30,STABLE BEAMS,6500,5982.735,5868.372,2.5,PLTZERO
306929:6404,45:45,11/21/17 17:53:54,STABLE BEAMS,6500,5910.760,5799.136,2.4,PLTZERO
306929:6404,46:46,11/21/17 17:54:17,STABLE BEAMS,6500,6013.384,5898.866,2.5,PLTZERO
306929:6404,47:47,11/21/17 17:54:40,STABLE BEAMS,6500,6117.514,5976.520,2.5,PLTZERO
306929:6404,48:48,11/21/17 17:55:03,STABLE BEAMS,6500,5910.659,5785.846,2.4,PLTZERO
306929:6404,49:49,11/21/17 17:55:27,STABLE BEAMS,6500,5985.243,5856.446,2.5,PLTZERO
306929:6404,50:50,11/21/17 17:55:50,STABLE BEAMS,6500,5943.475,5817.141,2.4,PLTZERO
306929:6404,51:51,11/21/17 17:56:13,STABLE BEAMS,6500,5919.972,5794.327,2.4,PLTZERO
306929:6404,52:52,11/21/17 17:56:37,STABLE BEAMS,6500,5964.222,5837.423,2.4,PLTZERO
306929:6404,53:53,11/21/17 17:57:00,STABLE BEAMS,6500,6009.783,5881.169,2.5,PLTZERO
306929:6404,54:54,11/21/17 17:57:23,STABLE BEAMS,6500,5834.931,5712.026,2.4,PLTZERO
306929:6404,55:55,11/21/17 17:57:47,STABLE BEAMS,6500,5839.341,5716.508,2.4,PLTZERO
306929:6404,56:56,11/21/17 17:58:10,STABLE BEAMS,6500,5911.024,5785.160,2.4,PLTZERO
306929:6404,57:57,11/21/17 17:58:33,STABLE BEAMS,6500,5905.311,5780.701,2.4,PLTZERO
306929:6404,58:58,11/21/17 17:58:57,STABLE BEAMS,6500,5878.059,5754.310,2.4,PLTZERO
306929:6404,59:59,11/21/17 17:59:20,STABLE BEAMS,6500,5924.294,5798.342,2.4,PLTZERO
306929:6404,60:60,11/21/17 17:59:43,STABLE BEAMS,6500,5855.933,5732.603,2.4,PLTZERO
306929:6404,61:61,11/21/17 18:00:07,STABLE BEAMS,6500,5865.029,5740.906,2.4,PLTZERO
306929:6404,62:62,11/21/17 18:00:30,STABLE BEAMS,6500,5969.704,5842.497,2.4,PLTZERO
306929:6404,63:63,11/21/17 18:00:53,STABLE BEAMS,6500,5921.408,5796.244,2.4,PLTZERO
306929:6404,64:64,11/21/17 18:01:17,STABLE BEAMS,6500,5928.712,5802.408,2.4,PLTZERO
306929:6404,65:65,11/21/17 18:01:40,STABLE BEAMS,6500,5958.078,5831.432,2.4,PLTZERO
306929:6404,66:66,11/21/17 18:02:03,STABLE BEAMS,6500,5946.202,5819.771,2.4,PLTZERO
306929:6404,67:67,11/21/17 18:02:26,STABLE BEAMS,6500,5908.320,5783.461,2.4,PLTZERO
306929:6404,68:68,11/21/17 18:02:50,STABLE BEAMS,6500,5907.501,5782.367,2.4,PLTZERO
306929:6404,69:69,11/21/17 18:03:13,STABLE BEAMS,6500,5899.130,5773.927,2.4,PLTZERO
306929:6404,70:70,11/21/17 18:03:36,STABLE BEAMS,6500,5870.327,5746.943,2.4,PLTZERO
306929:6404,71:71,11/21/17 18:04:00,STABLE BEAMS,6500,5990.090,5861.231,2.5,PLTZERO
306929:6404,72:72,11/21/17 18:04:23,STABLE BEAMS,6500,5993.780,5866.293,2.5,PLTZERO
306929:6404,73:73,11/21/17 18:04:46,STABLE BEAMS,6500,5871.322,5747.662,2.4,PLTZERO
306929:6404,74:74,11/21/17 18:05:10,STABLE BEAMS,6500,5908.948,5783.271,2.4,PLTZERO
306929:6404,75:75,11/21/17 18:05:33,STABLE BEAMS,6500,5943.884,5817.189,2.4,PLTZERO
306929:6404,76:76,11/21/17 18:05:56,STABLE BEAMS,6500,5933.244,5806.586,2.4,PLTZERO
306929:6404,77:77,11/21/17 18:06:20,STABLE BEAMS,6500,5950.549,5824.876,2.4,PLTZERO
306929:6404,78:78,11/21/17 18:06:43,STABLE BEAMS,6500,5944.184,5510.575,2.4,PLTZERO
306929:6404,79:79,11/21/17 18:07:06,STABLE BEAMS,6500,5841.656,5607.420,2.4,PLTZERO
306929:6404,80:80,11/21/17 18:07:29,STABLE BEAMS,6500,5819.074,5697.409,2.4,PLTZERO
306929:6404,81:81,11/21/17 18:07:53,STABLE BEAMS,6500,5905.354,5780.670,2.4,PLTZERO
306929:6404,82:82,11/21/17 18:08:16,STABLE BEAMS,6500,5878.000,5753.240,2.4,PLTZERO
306929:6404,83:83,11/21/17 18:08:39,STABLE BEAMS,6500,5896.224,5763.007,2.4,PLTZERO
306929:6404,84:84,11/21/17 18:09:03,STABLE BEAMS,6500,5994.890,5866.563,2.5,PLTZERO
306929:6404,85:85,11/21/17 18:09:26,STABLE BEAMS,6500,5966.782,5839.836,2.4,PLTZERO
306929:6404,86:86,11/21/17 18:09:49,STABLE BEAMS,6500,6054.893,5924.321,2.5,PLTZERO
306929:6404,87:87,11/21/17 18:10:13,STABLE BEAMS,6500,6347.878,6198.574,2.6,PLTZERO
306929:6404,88:88,11/21/17 18:10:36,STABLE BEAMS,6500,7101.696,6932.932,2.9,PLTZERO
306929:6404,89:89,11/21/17 18:10:59,STABLE BEAMS,6500,6775.122,6617.555,2.8,PLTZERO
306929:6404,90:90,11/21/17 18:11:23,STABLE BEAMS,6500,7025.718,6858.845,2.9,PLTZERO
306929:6404,91:91,11/21/17 18:11:46,STABLE BEAMS,6500,7177.371,6993.435,2.9,PLTZERO
306929:6404,92:92,11/21/17 18:12:09,STABLE BEAMS,6500,6990.542,6825.311,2.9,PLTZERO
306929:6404,93:93,11/21/17 18:12:32,STABLE BEAMS,6500,7138.098,6966.665,2.9,PLTZERO
306929:6404,94:94,11/21/17 18:12:56,STABLE BEAMS,6500,6930.414,6766.925,2.8,PLTZERO
306929:6404,95:95,11/21/17 18:13:19,STABLE BEAMS,6500,6892.583,6731.385,2.8,PLTZERO
306929:6404,96:96,11/21/17 18:13:42,STABLE BEAMS,6500,6847.251,6687.424,2.8,PLTZERO
306929:6404,97:97,11/21/17 18:14:06,STABLE BEAMS,6500,6836.229,6667.006,2.8,PLTZERO
306929:6404,98:98,11/21/17 18:14:29,STABLE BEAMS,6500,6742.270,6585.974,2.8,PLTZERO
306929:6404,99:99,11/21/17 18:14:52,STABLE BEAMS,6500,6520.119,6373.456,2.7,PLTZERO
306929:6404,100:100,11/21/17 18:15:16,STABLE BEAMS,6500,6274.743,6136.070,2.6,PLTZERO
306929:6404,101:101,11/21/17 18:15:39,STABLE BEAMS,6500,5940.988,5815.495,2.4,PLTZERO
306929:6404,102:102,11/21/17 18:16:02,STABLE BEAMS,6500,5738.679,5619.804,2.4,PLTZERO
306929:6404,103:103,11/21/17 18:16:26,STABLE BEAMS,6500,5634.413,5518.268,2.3,PLTZERO
306929:6404,104:104,11/21/17 18:16:49,STABLE BEAMS,6500,6080.632,5949.971,2.5,PLTZERO
306929:6404,105:105,11/21/17 18:17:12,STABLE BEAMS,6500,6023.588,5893.892,2.5,PLTZERO
306929:6404,106:106,11/21/17 18:17:36,STABLE BEAMS,6500,5980.656,5853.353,2.5,PLTZERO
306929:6404,107:107,11/21/17 18:17:59,STABLE BEAMS,6500,5951.424,5825.087,2.4,PLTZERO
306929:6404,108:108,11/21/17 18:18:22,STABLE BEAMS,6500,5982.377,5854.421,2.5,PLTZERO
306929:6404,109:109,11/21/17 18:18:45,STABLE BEAMS,6500,6029.213,5900.001,2.5,PLTZERO
306929:6404,110:110,11/21/17 18:19:09,STABLE BEAMS,6500,6061.893,5846.126,2.5,PLTZERO
306929:6404,111:111,11/21/17 18:19:32,STABLE BEAMS,6500,6106.246,5974.462,2.5,PLTZERO
306929:6404,112:112,11/21/17 18:19:55,STABLE BEAMS,6500,6086.477,5954.543,2.5,PLTZERO
306929:6404,113:113,11/21/17 18:20:19,STABLE BEAMS,6500,6019.581,5891.157,2.5,PLTZERO
306929:6404,114:114,11/21/17 18:20:42,STABLE BEAMS,6500,6092.126,5959.718,2.5,PLTZERO
306929:6404,115:115,11/21/17 18:21:05,STABLE BEAMS,6500,6141.064,6008.298,2.5,PLTZERO
306929:6404,116:116,11/21/17 18:21:29,STABLE BEAMS,6500,6034.821,5905.790,2.5,PLTZERO
306929:6404,117:117,11/21/17 18:21:52,STABLE BEAMS,6500,6005.032,5784.940,2.5,PLTZERO
306929:6404,118:118,11/21/17 18:22:15,STABLE BEAMS,6500,5993.472,5865.964,2.5,PLTZERO
306929:6404,119:119,11/21/17 18:22:39,STABLE BEAMS,6500,6040.777,5911.462,2.5,PLTZERO
306929:6404,120:120,11/21/17 18:23:02,STABLE BEAMS,6500,6006.958,5878.586,2.5,PLTZERO
306929:6404,121:121,11/21/17 18:23:25,STABLE BEAMS,6500,5932.603,5806.877,2.4,PLTZERO
306929:6404,122:122,11/21/17 18:23:48,STABLE BEAMS,6500,5947.076,5820.400,2.4,PLTZERO
306929:6404,123:123,11/21/17 18:24:12,STABLE BEAMS,6500,6017.025,5888.907,2.5,PLTZERO
306929:6404,124:124,11/21/17 18:24:35,STABLE BEAMS,6500,6043.767,5914.221,2.5,PLTZERO
306929:6404,125:125,11/21/17 18:24:58,STABLE BEAMS,6500,6032.924,5903.367,2.5,PLTZERO
306929:6404,126:126,11/21/17 18:25:22,STABLE BEAMS,6500,6013.234,5884.660,2.5,PLTZERO
306929:6404,127:127,11/21/17 18:25:45,STABLE BEAMS,6500,5964.048,5836.744,2.4,PLTZERO
306929:6404,128:128,11/21/17 18:26:08,STABLE BEAMS,6500,5966.054,5839.399,2.4,PLTZERO
306929:6404,129:129,11/21/17 18:26:32,STABLE BEAMS,6500,6094.513,5963.186,2.5,PLTZERO
306929:6404,130:130,11/21/17 18:26:55,STABLE BEAMS,6500,6114.135,5981.861,2.5,PLTZERO
306929:6404,131:131,11/21/17 18:27:18,STABLE BEAMS,6500,6083.096,5951.974,2.5,PLTZERO
306929:6404,132:132,11/21/17 18:27:42,STABLE BEAMS,6500,6089.437,5872.553,2.5,PLTZERO
306929:6404,133:133,11/21/17 18:28:05,STABLE BEAMS,6500,6148.328,6014.706,2.5,PLTZERO
306929:6404,134:134,11/21/17 18:28:28,STABLE BEAMS,6500,6063.340,5932.495,2.5,PLTZERO
306929:6404,135:135,11/21/17 18:28:52,STABLE BEAMS,6500,5950.738,5824.875,2.4,PLTZERO
306929:6404,136:136,11/21/17 18:29:15,STABLE BEAMS,6500,5996.317,5867.796,2.5,PLTZERO
306929:6404,137:137,11/21/17 18:29:38,STABLE BEAMS,6500,6062.647,5932.968,2.5,PLTZERO
306929:6404,138:138,11/21/17 18:30:02,STABLE BEAMS,6500,6094.576,5963.137,2.5,PLTZERO
306929:6404,139:139,11/21/17 18:30:25,STABLE BEAMS,6500,5987.689,5859.716,2.5,PLTZERO
306929:6404,140:140,11/21/17 18:30:48,STABLE BEAMS,6500,5968.737,5841.869,2.4,PLTZERO
306929:6404,141:141,11/21/17 18:31:11,STABLE BEAMS,6500,6007.864,5879.227,2.5,PLTZERO
306929:6404,142:142,11/21/17 18:31:35,STABLE BEAMS,6500,6082.894,5952.333,2.5,PLTZERO
306929:6404,143:143,11/21/17 18:31:58,STABLE BEAMS,6500,6099.729,5968.267,2.5,PLTZERO
306929:6404,144:144,11/21/17 18:32:21,STABLE BEAMS,6500,6093.277,5961.698,2.5,PLTZERO
306929:6404,145:145,11/21/17 18:32:45,STABLE BEAMS,6500,6111.466,5979.565,2.5,PLTZERO
306929:6404,146:146,11/21/17 18:33:08,STABLE BEAMS,6500,6074.239,5942.899,2.5,PLTZERO
306929:6404,147:147,11/21/17 18:33:31,STABLE BEAMS,6500,6098.140,5967.212,2.5,PLTZERO
306929:6404,148:148,11/21/17 18:33:55,STABLE BEAMS,6500,6140.504,6007.794,2.5,PLTZERO
306929:6404,149:149,11/21/17 18:34:18,STABLE BEAMS,6500,6161.694,6027.553,2.5,PLTZERO
306929:6404,150:150,11/21/17 18:34:41,STABLE BEAMS,6500,6090.130,5958.856,2.5,PLTZERO
306929:6404,151:151,11/21/17 18:35:05,STABLE BEAMS,6500,6066.709,5935.635,2.5,PLTZERO
306929:6404,152:152,11/21/17 18:35:28,STABLE BEAMS,6500,5993.297,5865.976,2.5,PLTZERO
306929:6404,153:153,11/21/17 18:35:51,STABLE BEAMS,6500,6126.108,5985.252,2.5,PLTZERO
306929:6404,154:154,11/21/17 18:36:14,STABLE BEAMS,6500,6074.186,5942.893,2.5,PLTZERO
306929:6404,155:155,11/21/17 18:36:38,STABLE BEAMS,6500,6041.278,5658.163,2.5,PLTZERO
306929:6404,156:156,11/21/17 18:37:01,STABLE BEAMS,6500,6042.932,5744.032,2.5,PLTZERO
306929:6404,157:157,11/21/17 18:37:24,STABLE BEAMS,6500,6091.232,5960.386,2.5,PLTZERO
306929:6404,158:158,11/21/17 18:37:48,STABLE BEAMS,6500,6063.031,5932.130,2.5,PLTZERO
306929:6404,159:159,11/21/17 18:38:11,STABLE BEAMS,6500,6080.174,5949.452,2.5,PLTZERO
306929:6404,160:160,11/21/17 18:38:34,STABLE BEAMS,6500,6049.682,5920.291,2.5,PLTZERO
306929:6404,161:161,11/21/17 18:38:58,STABLE BEAMS,6500,6114.666,5982.119,2.5,PLTZERO
306929:6404,162:162,11/21/17 18:39:21,STABLE BEAMS,6500,6154.667,6021.469,2.5,PLTZERO
306929:6404,163:163,11/21/17 18:39:44,STABLE BEAMS,6500,6057.408,5926.838,2.5,PLTZERO
306929:6404,164:164,11/21/17 18:40:08,STABLE BEAMS,6500,5992.377,5865.011,2.5,PLTZERO
306929:6404,165:165,11/21/17 18:40:31,STABLE BEAMS,6500,5946.404,5820.454,2.4,PLTZERO
306929:6404,166:166,11/21/17 18:40:54,STABLE BEAMS,6500,6037.547,5908.233,2.5,PLTZERO
306929:6404,167:167,11/21/17 18:41:17,STABLE BEAMS,6500,6105.200,5973.366,2.5,PLTZERO
306929:6404,168:168,11/21/17 18:41:41,STABLE BEAMS,6500,6100.206,5968.044,2.5,PLTZERO
306929:6404,169:169,11/21/17 18:42:04,STABLE BEAMS,6500,6000.208,5788.072,2.5,PLTZERO
306929:6404,170:170,11/21/17 18:42:27,STABLE BEAMS,6500,6162.903,6028.723,2.5,PLTZERO
306929:6404,171:171,11/21/17 18:42:51,STABLE BEAMS,6500,6137.777,6005.372,2.5,PLTZERO
306929:6404,172:172,11/21/17 18:43:14,STABLE BEAMS,6500,6155.970,6022.608,2.5,PLTZERO
306929:6404,173:173,11/21/17 18:43:37,STABLE BEAMS,6500,6048.176,5918.014,2.5,PLTZERO
306929:6404,174:174,11/21/17 18:44:01,STABLE BEAMS,6500,5933.166,5724.386,2.4,PLTZERO
306929:6404,175:175,11/21/17 18:44:24,STABLE BEAMS,6500,5952.212,5824.955,2.4,PLTZERO
306929:6404,176:176,11/21/17 18:44:47,STABLE BEAMS,6500,6035.357,5906.095,2.5,PLTZERO
306929:6404,177:177,11/21/17 18:45:11,STABLE BEAMS,6500,6032.244,5903.314,2.5,PLTZERO
306929:6404,178:178,11/21/17 18:45:34,STABLE BEAMS,6500,5980.381,5852.304,2.5,PLTZERO
306929:6404,179:179,11/21/17 18:45:57,STABLE BEAMS,6500,5966.583,5840.286,2.4,PLTZERO
306929:6404,180:180,11/21/17 18:46:21,STABLE BEAMS,6500,6032.606,5903.400,2.5,PLTZERO
306929:6404,181:181,11/21/17 18:46:44,STABLE BEAMS,6500,6043.006,5913.720,2.5,PLTZERO
306929:6404,182:182,11/21/17 18:47:07,STABLE BEAMS,6500,6004.095,5876.202,2.5,PLTZERO
306929:6404,183:183,11/21/17 18:47:30,STABLE BEAMS,6500,6023.978,5894.554,2.5,PLTZERO
306929:6404,184:184,11/21/17 18:47:54,STABLE BEAMS,6500,6047.684,5918.018,2.5,PLTZERO
306929:6404,185:185,11/21/17 18:48:17,STABLE BEAMS,6500,5967.000,5839.273,2.4,PLTZERO
306929:6404,186:186,11/21/17 18:48:40,STABLE BEAMS,6500,6050.857,5921.377,2.5,PLTZERO
306929:6404,187:187,11/21/17 18:49:04,STABLE BEAMS,6500,6108.394,5891.375,2.5,PLTZERO
306929:6404,188:188,11/21/17 18:49:27,STABLE BEAMS,6500,6148.459,6014.358,2.5,PLTZERO
306929:6404,189:189,11/21/17 18:49:50,STABLE BEAMS,6500,6170.004,6036.137,2.5,PLTZERO
306929:6404,190:190,11/21/17 18:50:14,STABLE BEAMS,6500,5980.230,5769.511,2.5,PLTZERO
306929:6404,191:191,11/21/17 18:50:37,STABLE BEAMS,6500,5973.905,5846.971,2.4,PLTZERO
306929:6404,192:192,11/21/17 18:51:00,STABLE BEAMS,6500,6017.977,5888.870,2.5,PLTZERO
306929:6404,193:193,11/21/17 18:51:24,STABLE BEAMS,6500,6020.949,5892.294,2.5,PLTZERO
306929:6404,194:194,11/21/17 18:51:47,STABLE BEAMS,6500,6045.148,5915.162,2.5,PLTZERO
306929:6404,195:195,11/21/17 18:52:10,STABLE BEAMS,6500,6043.290,5914.319,2.5,PLTZERO
306929:6404,196:196,11/21/17 18:52:34,STABLE BEAMS,6500,6009.650,5881.556,2.5,PLTZERO
306929:6404,197:197,11/21/17 18:52:57,STABLE BEAMS,6500,5983.810,5855.950,2.5,PLTZERO
306929:6404,198:198,11/21/17 18:53:20,STABLE BEAMS,6500,6057.931,5927.526,2.5,PLTZERO
306929:6404,199:199,11/21/17 18:53:43,STABLE BEAMS,6500,6110.028,5977.418,2.5,PLTZERO
306929:6404,200:200,11/21/17 18:54:07,STABLE BEAMS,6500,6089.462,5958.954,2.5,PLTZERO
306929:6404,201:201,11/21/17 18:54:30,STABLE BEAMS,6500,6044.542,5915.077,2.5,PLTZERO
306929:6404,202:202,11/21/17 18:54:53,STABLE BEAMS,6500,6026.850,5897.747,2.5,PLTZERO
306929:6404,203:203,11/21/17 18:55:17,STABLE BEAMS,6500,6008.866,5880.091,2.5,PLTZERO
306929:6404,204:204,11/21/17 18:55:40,STABLE BEAMS,6500,6030.645,5900.274,2.5,PLTZERO
306929:6404,205:205,11/21/17 18:56:03,STABLE BEAMS,6500,6051.843,5922.180,2.5,PLTZERO
306929:6404,206:206,11/21/17 18:56:27,STABLE BEAMS,6500,6038.594,5909.225,2.5,PLTZERO
306929:6404,207:207,11/21/17 18:56:50,STABLE BEAMS,6500,6067.443,5936.855,2.5,PLTZERO
306929:6404,208:208,11/21/17 18:57:13,STABLE BEAMS,6500,6085.220,5954.307,2.5,PLTZERO
306929:6404,209:209,11/21/17 18:57:37,STABLE BEAMS,6500,6076.546,5944.947,2.5,PLTZERO
306929:6404,210:210,11/21/17 18:58:00,STABLE BEAMS,6500,6046.075,5916.488,2.5,PLTZERO
306929:6404,211:211,11/21/17 18:58:23,STABLE BEAMS,6500,5979.468,5852.676,2.5,PLTZERO
306929:6404,212:212,11/21/17 18:58:47,STABLE BEAMS,6500,5847.828,5724.686,2.4,PLTZERO
306929:6404,213:213,11/21/17 18:59:10,STABLE BEAMS,6500,3814.594,3748.853,1.6,PLTZERO
306929:6404,214:214,11/21/17 18:59:33,STABLE BEAMS,6500,10233.733,9849.246,4.2,PLTZERO
306929:6404,215:215,11/21/17 18:59:56,STABLE BEAMS,6500,42948.328,20056.306,17.6,HFET
306929:6404,216:216,11/21/17 19:00:20,STABLE BEAMS,6500,92020.806,12215.228,37.7,HFET
306929:6404,217:217,11/21/17 19:00:43,STABLE BEAMS,6500,102454.052,100902.859,42.0,HFET
306929:6404,218:218,11/21/17 19:01:06,STABLE BEAMS,6500,29591.923,24034.583,12.1,HFET
306929:6404,219:219,11/21/17 19:01:30,STABLE BEAMS,6500,104920.583,102861.141,43.0,HFET
306929:6404,220:220,11/21/17 19:01:53,STABLE BEAMS,6500,70088.320,63998.004,28.7,HFET
306929:6404,221:221,11/21/17 19:02:16,STABLE BEAMS,6500,14228.776,13013.599,5.8,HFET
306929:6404,222:222,11/21/17 19:02:40,STABLE BEAMS,6500,55029.384,54262.885,22.6,HFET
306929:6404,223:223,11/21/17 19:03:03,STABLE BEAMS,6500,99099.666,97048.416,40.6,HFET
306929:6404,224:224,11/21/17 19:03:26,STABLE BEAMS,6500,96863.512,94869.640,39.7,HFET
306929:6404,225:225,11/21/17 19:03:50,STABLE BEAMS,6500,49884.429,49129.571,20.4,HFET
306929:6404,226:226,11/21/17 19:04:13,STABLE BEAMS,6500,22019.014,21111.014,9.0,HFET
306929:6404,227:227,11/21/17 19:04:36,STABLE BEAMS,6500,49975.313,40728.715,20.5,HFET
306929:6404,228:228,11/21/17 19:05:00,STABLE BEAMS,6500,2725.723,1933.034,1.1,HFET
306929:6404,229:229,11/21/17 19:05:23,STABLE BEAMS,6500,40461.173,39937.976,16.6,HFET
306929:6404,230:230,11/21/17 19:05:46,STABLE BEAMS,6500,98781.938,96739.770,40.5,HFET
306929:6404,231:231,11/21/17 19:06:09,STABLE BEAMS,6500,54815.890,54016.623,22.5,HFET
306929:6404,232:232,11/21/17 19:06:33,STABLE BEAMS,6500,9364.885,7724.731,3.8,HFET
